identifier,destination_code,destination_name
http://www.group22.org/gz/resource/Destinatation/DES30,30,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR.
http://www.group22.org/gz/resource/Destinatation/DES51,51,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DE SU PERÍMETRO SE ENCUENTRAN UBICADOSUNA CASETA DE PERSONAL, UN ALMACÉN Y LA INSTALACIÓN DEPORTIVA BÁSICA EVA DUARTE (2 PISTAS DE BOLOS YPETANCA, PISTA DE CHITO, 2 PISTAS DE PÁDEL, 3 PISTAS POLIDEPORTIVAS Y 2 TENIS DE MESA).
http://www.group22.org/gz/resource/Destinatation/DES1,1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.
http://www.group22.org/gz/resource/Destinatation/DES1,1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.
http://www.group22.org/gz/resource/Destinatation/DES1,1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.
http://www.group22.org/gz/resource/Destinatation/DES1,1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.
http://www.group22.org/gz/resource/Destinatation/DES1,1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.
http://www.group22.org/gz/resource/Destinatation/DES1,1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.
http://www.group22.org/gz/resource/Destinatation/DES1,1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.
http://www.group22.org/gz/resource/Destinatation/DES1,1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.
